freq_hz,omega_mean,omega_std,r_final
4.0,25.132741228718345,2.5132741228718345,0.175339327857244
4.5,28.274333882308138,2.827433388230814,0.41383766397395405
5.0,31.41592653589793,3.141592653589793,0.35700626100530897
5.5,34.55751918948772,3.4557519189487724,0.2033692763704026
6.0,37.69911184307752,3.7699111843077517,0.16159912093772044
15.0,94.24777960769379,9.42477796076938,0.2799759596647431
15.5,97.38937226128358,9.738937226128359,0.27906340271190616
16.0,100.53096491487338,10.053096491487338,0.2883680573869879
16.2,101.78760197630929,10.178760197630929,0.2874959524766848
16.5,103.67255756846318,10.367255756846319,0.1624303299596053
17.0,106.81415022205297,10.681415022205298,0.45990875186920643
110.0,691.1503837897545,69.11503837897546,0.18186476530467674
113.0,709.9999397112932,70.99999397112933,0.4180623082680935
115.0,722.5663103256525,72.25663103256525,0.5293795928487041
117.0,735.1326809400116,73.51326809400116,0.6346187667460738
119.0,747.6990515543707,74.76990515543707,0.1548479777600327
120.0,753.9822368615503,75.39822368615503,0.09065218609196313
